tconst,titleType,primaryTitle,originalTitle,genres
tt0000001,short,Carmencita,Carmencita,"Documentary,Short"
tt0000002,short,Le clown et ses chiens,Le clown et ses chiens,"Animation,Short"
tt0000003,short,Poor Pierrot,Pauvre Pierrot,"Animation,Comedy,Romance"
tt0000004,short,Un bon bock,Un bon bock,"Animation,Short"
tt0000005,short,Blacksmith Scene,Blacksmith Scene,"Comedy,Short"
tt0000006,short,Chinese Opium Den,Chinese Opium Den,Short
tt0000007,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,"Short,Sport"
tt0000008,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,"Documentary,Short"
tt0000009,movie,Miss Jerry,Miss Jerry,Romance
tt0000010,short,Leaving the Factory,La sortie de l'usine Lumière à Lyon,"Documentary,Short"
tt0000011,short,Akrobatisches Potpourri,Akrobatisches Potpourri,"Documentary,Short"
tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,"Documentary,Short"
tt0000013,short,The Photographical Congress Arrives in Lyon,Le débarquement du congrès de photographie à Lyon,"Documentary,Short"
tt0000014,short,The Waterer Watered,L'arroseur arrosé,"Comedy,Short"
tt0000015,short,Around a Cabin,Autour d'une cabine,"Animation,Short"
tt0000016,short,Boat Leaving the Port,Barque sortant du port,"Documentary,Short"
tt0000017,short,Italienischer Bauerntanz,Italienischer Bauerntanz,"Documentary,Short"
tt0000018,short,Das boxende Känguruh,Das boxende Känguruh,Short
tt0000019,short,The Clown Barber,The Clown Barber,"Comedy,Short"
tt0000020,short,The Derby 1895,The Derby 1895,"Documentary,Short,Sport"
tt0000022,short,Blacksmith Scene,Les forgerons,"Documentary,Short"
tt0000023,short,The Sea,Baignade en mer,"Documentary,Short"
tt0000024,short,Opening of the Kiel Canal,Opening of the Kiel Canal,"News,Short"
tt0000025,short,The Oxford and Cambridge University Boat Race,The Oxford and Cambridge University Boat Race,"News,Short,Sport"
