iter	Logloss
0	0.678104079
1	0.663728014
2	0.6499767516
3	0.6368368211
4	0.6242854663
5	0.6122867133
6	0.6008204843
7	0.5898639616
8	0.5794021768
9	0.5693993484
10	0.5598510445
11	0.5507282127
12	0.5420064773
13	0.5336861435
14	0.5257234511
15	0.5181241308
16	0.5108627131
17	0.5039249542
18	0.4972913074
19	0.4909641994
20	0.4849091266
21	0.4791260558
22	0.4736027962
23	0.4683219543
24	0.4632776679
25	0.4584510495
26	0.4538354238
27	0.4494363369
28	0.4452214689
29	0.4411874799
30	0.4373352111
31	0.433652007
32	0.430127236
33	0.4267610223
34	0.4235393389
35	0.4204559196
36	0.4175008833
37	0.414675568
38	0.411976607
39	0.4094027204
40	0.4069343969
41	0.4045670533
42	0.4023059253
43	0.400142752
44	0.3980692114
45	0.3960849271
46	0.3941800188
47	0.3923599094
48	0.3906148119
49	0.3889468106
50	0.387349861
51	0.3858170122
52	0.3843487927
53	0.3829450455
54	0.3815912777
55	0.3802981166
56	0.3790645636
57	0.3778721056
58	0.3767386325
59	0.3756496799
60	0.3746045637
61	0.3736021306
62	0.3726438117
63	0.3717190733
64	0.3708386997
65	0.3699914053
66	0.3691798106
67	0.3683978669
68	0.3676517775
69	0.3669345586
70	0.3662503254
71	0.3655906323
72	0.3649614913
73	0.3643532739
74	0.3637716521
75	0.3632148778
76	0.3626806165
77	0.3621695198
78	0.3616763834
79	0.3612010215
80	0.3607479204
81	0.3603129652
82	0.3598956583
83	0.3594965297
84	0.3591070065
85	0.3587386843
86	0.3583844876
87	0.3580451318
88	0.3577197766
89	0.357405803
90	0.3571049887
91	0.356805208
92	0.3565301796
93	0.3562573081
94	0.3559958478
95	0.3557519706
96	0.3555077245
97	0.3552813419
98	0.355061261
99	0.3548453908
100	0.3546456701
101	0.3544461088
102	0.3542576484
103	0.3540789771
104	0.3539028662
105	0.3537335852
106	0.3535749048
107	0.3534202794
108	0.3532683999
109	0.3531290844
110	0.3529895543
111	0.3528568227
112	0.3527283315
113	0.3526086023
114	0.3524934888
115	0.3523814327
116	0.3522725899
117	0.352163157
118	0.3520636391
119	0.3519634686
120	0.3518777007
121	0.3517878833
122	0.3517003429
123	0.3516196307
124	0.3515441262
125	0.3514677822
126	0.351390974
127	0.3513220846
128	0.3512533205
129	0.3511881434
130	0.3511296075
131	0.3510678012
132	0.3510138813
133	0.3509517046
134	0.3509038043
135	0.3508482068
136	0.3507961341
137	0.3507540668
138	0.3507111301
139	0.3506640801
140	0.3506212078
141	0.350574691
142	0.350538929
143	0.3505043516
144	0.3504635119
145	0.3504274109
146	0.3503955512
147	0.3503654993
148	0.3503289345
149	0.3503000392
150	0.3502726725
151	0.3502429377
152	0.350219375
153	0.3501930092
154	0.3501683902
155	0.3501436469
156	0.3501173469
157	0.3501007718
158	0.3500735389
159	0.3500556582
160	0.3500366558
161	0.3500136023
162	0.3499999931
163	0.3499803398
164	0.3499666701
165	0.3499448994
166	0.3499316367
167	0.349917068
168	0.349900753
169	0.3498865275
170	0.3498719608
171	0.3498633779
172	0.3498508386
173	0.349838206
174	0.3498242648
175	0.3498091719
176	0.3498016848
