iter	Passed	Remaining
0	0	972
1	1	974
2	8	2944
3	10	2575
4	14	2917
5	18	3073
6	29	4116
7	30	3777
8	32	3593
9	34	3441
10	35	3229
11	37	3057
12	43	3339
13	44	3162
14	46	3064
15	47	2949
16	48	2828
17	50	2730
18	52	2697
19	53	2607
20	56	2620
21	61	2714
22	77	3277
23	80	3269
24	83	3237
25	88	3300
26	89	3209
27	89	3122
28	91	3056
29	92	2980
30	94	2946
31	95	2879
32	96	2816
33	97	2762
34	98	2705
35	101	2718
36	103	2700
37	105	2670
38	108	2681
39	109	2634
40	112	2626
41	120	2752
42	121	2706
43	132	2878
44	133	2833
45	137	2851
46	138	2811
47	156	3109
48	157	3060
49	159	3035
50	160	2991
51	161	2951
52	163	2917
53	165	2900
54	166	2860
55	167	2825
56	180	2984
57	181	2946
58	187	2997
59	189	2964
60	192	2963
61	196	2978
62	197	2943
63	204	2991
64	207	2986
65	208	2951
66	216	3015
67	222	3048
68	223	3020
69	224	2986
70	225	2955
71	232	2998
72	236	3008
73	241	3027
74	243	2998
75	247	3007
76	248	2977
77	259	3063
78	262	3065
79	264	3041
80	265	3011
81	266	2981
82	267	2951
83	274	2988
84	275	2961
85	277	2949
86	281	2957
87	282	2930
88	283	2903
89	284	2879
90	287	2871
91	288	2846
92	289	2822
93	290	2798
94	291	2776
95	292	2754
96	293	2736
97	294	2714
98	295	2692
99	299	2696
100	300	2675
101	301	2654
102	302	2635
103	304	2624
104	305	2604
105	306	2588
106	307	2569
107	310	2562
108	311	2546
109	312	2527
110	313	2509
111	314	2492
112	315	2479
113	316	2461
114	317	2446
115	318	2430
116	321	2423
117	322	2414
118	323	2398
119	325	2387
120	326	2372
121	327	2360
122	328	2344
123	330	2337
124	332	2326
125	335	2324
126	336	2311
127	337	2300
128	339	2289
129	340	2280
130	341	2266
131	342	2252
132	343	2238
133	344	2225
134	346	2222
135	348	2212
136	349	2199
137	350	2186
138	352	2185
139	354	2175
140	355	2164
141	357	2162
142	363	2181
143	365	2174
144	366	2162
145	367	2150
146	369	2145
147	370	2135
148	372	2130
149	373	2119
150	376	2114
151	377	2104
152	385	2133
153	388	2134
154	389	2123
155	390	2114
156	391	2103
157	393	2094
158	394	2084
159	401	2106
160	402	2097
161	405	2095
162	406	2086
163	407	2076
164	411	2081
165	412	2072
166	414	2069
167	417	2068
168	419	2060
169	420	2051
170	421	2043
171	423	2040
172	426	2039
173	428	2034
174	430	2030
175	431	2021
176	432	2011
177	434	2004
178	436	2002
179	438	1995
180	441	1998
181	442	1989
182	444	1985
183	450	1999
184	451	1990
185	456	1996
186	458	1993
187	459	1985
188	461	1979
189	464	1978
190	465	1970
191	466	1964
192	467	1955
193	468	1946
194	470	1942
195	471	1934
196	473	1929
197	478	1936
198	480	1934
199	482	1929
200	483	1921
201	484	1913
202	486	1910
203	488	1906
204	494	1916
205	495	1909
206	496	1901
207	497	1894
208	498	1886
209	499	1878
210	500	1870
211	501	1863
212	502	1855
213	503	1848
214	504	1841
215	505	1836
216	506	1828
217	507	1821
218	508	1814
219	510	1809
220	511	1802
221	512	1797
222	513	1790
223	514	1783
224	515	1776
225	516	1769
226	517	1762
227	518	1755
228	519	1749
229	520	1742
230	521	1736
231	522	1729
232	523	1722
233	524	1716
234	525	1709
235	526	1703
236	527	1698
237	528	1691
238	529	1685
239	530	1679
240	531	1672
241	532	1666
242	533	1660
243	533	1654
244	534	1648
245	535	1642
246	538	1640
247	539	1635
248	541	1632
249	543	1629
250	548	1635
251	549	1630
252	550	1626
253	552	1621
254	555	1622
255	556	1618
256	557	1612
257	558	1606
258	559	1600
259	562	1601
260	569	1612
261	570	1607
262	573	1607
263	574	1601
264	580	1611
265	581	1605
266	594	1632
267	596	1627
268	598	1625
269	601	1625
270	603	1623
271	604	1617
272	606	1613
